weight.class,fighter,last.name,reign.start,reign.end
Men's Flyweight,Demetrious Johnson,Johnson,9/22/12,9/5/17
Women's Strawweight,Carla Esparza,~,12/12/14,3/14/15
Women's Strawweight,Joanna Jedrzejczyk,Jedrzejczyk,3/14/15,9/5/17
Women's Bantamweight,Ronda Rousey,Rousey,12/6/12,11/15/15
Women's Bantamweight,Holly Holm,Holm,11/15/15,3/5/16
Women's Bantamweight,Miesha Tate,Tate,3/5/16,7/9/16
Women's Bantamweight,Amanda Nunes,Nunes,7/9/16,9/5/17
Women's Featherweight,Germaine de Randamie,!,2/11/17,6/19/17
Women's Featherweight,Cris Cyborg,$,7/19/17,9/5/17
Men's Bantamweight,Dominick Cruz,Cruz,9/22/12,1/6/14
Men's Bantamweight,Renan Barao,Barao,1/6/14,5/24/14
Men's Bantamweight,TJ Dillashaw,Dillashaw,5/24/14,1/17/16
Men's Bantamweight,Dominick Cruz,Cruz,1/17/16,12/30/16
Men's Bantamweight,Cody Garbrandt,Garbrandt,12/30/16,9/5/17
Men's Featherweight,Jose Aldo,Aldo,9/22/12,12/12/15
Men's Featherweight,Conor McGregor,McGregor,12/12/15,11/26/16
Men's Featherweight,Jose Aldo,Aldo,11/26/16,6/3/17
Men's Featherweight,Max Holloway,&,6/3/17,9/5/17
Men's Lightweight,Benson Henderson,Henderson,9/22/12,8/31/13
Men's Lightweight,Anthony Pettis,Pettis,8/31/13,3/14/15
Men's Lightweight,Rafael dos Anjos,dos Anjos,3/14/15,6/7/16
Men's Lightweight,Eddie Alvarez,Alvarez,6/7/16,11/12/16
Men's Lightweight,Conor McGregor,McGregor,11/12/16,9/5/17
Men's Welterweight,Georges St-Pierre,St-Pierre,9/22/12,12/13/13
Men's Welterweight,Johny Hendricks,Hendricks,3/15/14,12/6/14
Men's Welterweight,Robbie Lawler,Lawler,12/6/14,7/30/16
Men's Welterweight,Tyron Woodley,Woodley,7/30/16,9/5/17
Men's Middleweight,Anderson Silva,Silva,9/22/12,7/6/13
Men's Middleweight,Chris Weidman,Weidman,7/6/13,12/12/15
Men's Middleweight,Luke Rockhold,Rockhold,12/12/15,6/4/16
Men's Middleweight,Michael Bisping,Bisping,6/4/16,9/5/17
Men's Light Heavyweight,Jon Jones,Jones,9/22/12,4/28/15
Men's Light Heavyweight,Daniel Cormier,Cormier,5/23/15,7/29/17
Men's Light Heavyweight,Jon Jones,*,7/29/17,9/5/17
Men's Heavyweight,Junior dos Santos,@,9/22/12,12/29/12
Men's Heavyweight,Cain Velasquez,Velasquez,12/29/12,6/13/15
Men's Heavyweight,Fabricio Werdum,Werdum,6/13/15,5/14/16
Men's Heavyweight,Stipe Miocic,Miocic,5/14/16,9/5/17
