fighter,fights.out.of,fight.num
Alexander Volkov,"Moscow, Russia",1
Stefan Struve,"Beverwijk, The Netherlands",1
Siyar Bahadurzada,"Amsterdam, The Netherlands",2
Rob Wilkinson,"Sydney, Australia",2
Marion Reneau,"Visalia, California",3
Talita Bernardo,"Barra de Sao Joao, Rio de Janeiro, Brazil",3
Leon Edwards,"Birmingham, England",4
Bryan Barberena,"Glendale, Arizona",4
Darren Till,"Balneario Camboriu, Santa Catarina, Brazil",5
Bojan Velickovic,"Denver, Colorado",5
Mairbek Taisumov,"Vienna, Austria",6
Felipe Silva,"Juiz de For a, Minas Gerais, Brazil",6
Michel Prazeres,"Belem, Para, Brazil",7
Mads Burnell,"Husman, Copenhagen, Denmark",7
Rustam Khabilov,"Derbent, Dagestan",8
Desmond Green,"Fort Lauderdale, Florida",8
Francimar Barroso,"Rio de Janeiro, Brazil",9
Aleksander Rakic,"Vienna, Austria",9
Mike Santiago,"Chicago, Illinois",10
Zabit Magomedsharipov,"Dagestan, Russia",10
Bojan Mihajlovic,"Odzaci, Serbia",11
Abdul-Kerim Edilov,"Grozny, Russia",11
Thibault Gouti,"Avignon, France",12
Andrew Holbrook,"Indianapolis, Indiana",12
