fighter,fights.out.of,fight.num
Luke Rockhold,"Santa Cruz, California",1
David Branch,"Brooklyn, New York",1
Mike Perry,"Orlando, Florida",2
Thiago Alves,"Coconut Creek, Florida",2
Hector Lombard,"Coconut Creek, Florida",3
Anthony Smith,"Omaha, Nebraska",3
Gregor Gillespie,"Long Island, New York",4
Jason Gonzalez,"Rancho Cucmonga, California",4
Kamaru Usman,"Boca Raton, Florida",5
Sergio Moraes,"Curitiba, Brazil",5
Justin Ledet,"Rosharon, Texas",6
Zu Anyanwu,"Langhorne, Pennsylania",6
Tony Martin,"Boston, Massachusetts",7
Olivier Aubin-Mercier,"Montreal, Quebec, Canada",7
Anthony Hamilton,"Albuquerque, New Mexico",8
Daniel Spitz,"Spokane, Washington",8
Krzysztof Jotko,"Orneta, Poland",9
Uriah Hall,"Queens, New York",9
Luke Sanders,"Nashville, Tennessee",10
Felipe Arantes,"Sao Paulo, Brazil",10
Jason Saggo,"Charlottetown, Prince Edward Island, Canada",11
Gilbert Burns,"Boca Raton, Florida",11
