fight.id,winner,loser,method,round,time,weight.class.id,event,date,fight.order,title.fight,five.rounds
UFC2017090901,Amanda Nunes,Valentina Shevchenko,Decision - Split,5,5:00,25,UFC 215: Nunes vs. Shevchenko 2,9/9/17,1,1,1
UFC2017090902,Rafael dos Anjos,Neil Magny,Submission,1,3:43,4,UFC 215: Nunes vs. Shevchenko 2,9/9/17,2,0,0
UFC2017090903,Henry Cejudo,Wilson Reis,KO/TKO,2,0:25,8,UFC 215: Nunes vs. Shevchenko 2,9/9/17,3,0,0
UFC2017090904,Ilir Latifi,Tyson Pedro,Decision - Unanimous,3,5:00,2,UFC 215: Nunes vs. Shevchenko 2,9/9/17,4,0,0
UFC2017090905,Jeremy Stephens,Gilbert Melendez,Decision - Unanimous,3,5:00,6,UFC 215: Nunes vs. Shevchenko 2,9/9/17,5,0,0
UFC2017090906,Ketlen Vieira,Sara McMann,Submission,2,4:16,25,UFC 215: Nunes vs. Shevchenko 2,9/9/17,6,0,0
UFC2017090907,Sarah Moras,Ashlee Evans-Smith,Submission,1,2:51,25,UFC 215: Nunes vs. Shevchenko 2,9/9/17,7,0,0
UFC2017090908,Rick Glenn,Gavin Tucker,Decision - Unanimous,3,5:00,6,UFC 215: Nunes vs. Shevchenko 2,9/9/17,8,0,0
UFC2017090909,Alex White,Mitch Clarke,KO/TKO,2,4:36,5,UFC 215: Nunes vs. Shevchenko 2,9/9/17,9,0,0
UFC2017090910,Arjan Bhullar,Luis Henrique,Decision - Unanimous,3,5:00,1,UFC 215: Nunes vs. Shevchenko 2,9/9/17,10,0,0
UFC2017090911,Kajan Johnson,Adriano Martins,KO/TKO,3,0:49,5,UFC 215: Nunes vs. Shevchenko 2,9/9/17,11,0,0
UFC2017090201,Alexander Volkov,Stefan Struve,KO/TKO,3,3:30,1,UFC Fight Night 115: Volkov vs. Struve,9/2/17,1,0,1
UFC2017090202,Siyar Bahadurzada,Rob Wilkinson,KO/TKO,2,3:10,3,UFC Fight Night 115: Volkov vs. Struve,9/2/17,2,0,0
UFC2017090203,Marion Reneau,Talita Bernardo,KO/TKO,3,4:54,25,UFC Fight Night 115: Volkov vs. Struve,9/2/17,3,0,0
UFC2017090204,Leon Edwards,Bryan Barberena,Decision - Unanimous,3,5:00,4,UFC Fight Night 115: Volkov vs. Struve,9/2/17,4,0,0
UFC2017090205,Darren Till,Bojan Velickovic,Decision - Unanimous,3,5:00,4,UFC Fight Night 115: Volkov vs. Struve,9/2/17,5,0,0
UFC2017090206,Mairbek Taisumov,Felipe Silva,KO/TKO,1,1:24,5,UFC Fight Night 115: Volkov vs. Struve,9/2/17,6,0,0
UFC2017090207,Michel Prazeres,Mads Burnell,Submission,3,1:26,5,UFC Fight Night 115: Volkov vs. Struve,9/2/17,7,0,0
UFC2017090208,Rustam Khabilov,Desmond Green,Decision - Unanimous,3,5:00,5,UFC Fight Night 115: Volkov vs. Struve,9/2/17,8,0,0
UFC2017090209,Aleksandar Rakic,Francimar Barroso,Decision - Unanimous,3,5:00,2,UFC Fight Night 115: Volkov vs. Struve,9/2/17,9,0,0
UFC2017090210,Zabit Magomedsharipov,Mike Santiago,Submission,2,4:22,6,UFC Fight Night 115: Volkov vs. Struve,9/2/17,10,0,0
UFC2017090211,Abdul-Kerim Edilov,Bojan Mihajlovic,KO/TKO,2,2:32,2,UFC Fight Night 115: Volkov vs. Struve,9/2/17,11,0,0
UFC2017090212,Thibault Gouti,Andrew Holbrook,KO/TKO,1,4:28,5,UFC Fight Night 115: Volkov vs. Struve,9/2/17,12,0,0
UFC2017080501,Sergio Pettis,Brandon Moreno,Decision - Unanimous,5,5:00,8,UFC Fight Night 114: Pettis vs. Moreno,8/5/17,1,0,1
UFC2017080502,Alexa Grasso,Randa Markos,Decision - Split,3,5:00,32,UFC Fight Night 114: Pettis vs. Moreno,8/5/17,2,0,0
UFC2017080503,Niko Price,Alan Jouban,KO/TKO,1,1:44,4,UFC Fight Night 114: Pettis vs. Moreno,8/5/17,3,0,0
UFC2017080504,Humberto Bandenay,Martin Bravo,KO/TKO,1,0:26,6,UFC Fight Night 114: Pettis vs. Moreno,8/5/17,4,0,0
UFC2017080505,Sam Alvey,Rashad Evans,Decision - Split,3,5:00,3,UFC Fight Night 114: Pettis vs. Moreno,8/5/17,5,0,0
